Anno Accademico,Hash Docente/i,Insegnamento,Produttivita Studenti - N [istanze],Produttivita Studenti - Ritardo >=1sem [percent],Produttivita Studenti - Ritardo [semestre media],Produttivita Studenti - Voto >= 24 [perc],Produttivita Studenti - Voto [media],Produttivita Studenti - Voto [std dev],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - N [istanze],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Std Dev [media pesata],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Val >= 6 [percent],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Val [media pesata],Valutazione Insegnamento - Aule ed attrezzature - N [istanze],Valutazione Insegnamento - Aule ed attrezzature - Std Dev [media pesata],Valutazione Insegnamento - Aule ed attrezzature - Val >= 6 [percent],Valutazione Insegnamento - Aule ed attrezzature - Val [media pesata],Valutazione Insegnamento - Docente - N [istanze],Valutazione Insegnamento - Docente - Std Dev [media pesata],Valutazione Insegnamento - Docente - Val >= 6 [percent],Valutazione Insegnamento - Docente - Val [media pesata],Valutazione Insegnamento - Informazioni aggiuntive - N [istanze],Valutazione Insegnamento - Informazioni aggiuntive - Std Dev [media pesata],Valutazione Insegnamento - Informazioni aggiuntive - Val >= 6 [percent],Valutazione Insegnamento - Informazioni aggiuntive - Val [media pesata],Valutazione Insegnamento - Organizzazione Corso di Studi - N [istanze],Valutazione Insegnamento - Organizzazione Corso di Studi - Std Dev [media pesata],Valutazione Insegnamento - Organizzazione Corso di Studi - Val >= 6 [percent],Valutazione Insegnamento - Organizzazione Corso di Studi - Val [media pesata],Valutazione Insegnamento - Organizzazione Insegnamento - N [istanze],Valutazione Insegnamento - Organizzazione Insegnamento - Std Dev [media pesata],Valutazione Insegnamento - Organizzazione Insegnamento - Val >= 6 [percent],Valutazione Insegnamento - Organizzazione Insegnamento - Val [media pesata],Valutazione Insegnamento - Soddisfazione - N [istanze],Valutazione Insegnamento - Soddisfazione - Std Dev [media pesata],Valutazione Insegnamento - Soddisfazione - Val >= 6 [percent],Valutazione Insegnamento - Soddisfazione - Val [media pesata],]
2012-2013,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,25-50,20-40,,80-100,25-28,2.56,0-25,0-1.5,80-100,8-10,,,,,0-25,1.5-3,80-100,8-10,,,,,,,,,0-25,1.5-3,80-100,6-8,0-25,0-1.5,80-100,8-10,
2013-2014,ebf305b5bf29,PROGRAMMAZIONE CONCORRENTE,25-50,40-60,,60-80,25-28,3.84,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8,
2013-2014,bfe4b3521c4f,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,50-100,80-100,,80-100,28-31,2.76,50-100,1.5-3,80-100,6-8,,,,,50-100,0-1.5,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,8-10,50-100,1.5-3,80-100,8-10,
2013-2014,7acf3f684e24,RETI DI CALCOLATORI,25-50,40-60,,80-100,25-28,2.8,0-25,1.5-3,80-100,6-8,,,,,25-50,0-1.5,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,8-10,25-50,0-1.5,80-100,8-10,
2013-2014,9000fdc450fb,INFORMATICA TEORICA,0-25,20-40,,20-40,22-25,3.27,25-50,0-1.5,80-100,6-8,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,60-80,6-8,
2013-2014,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,50-100,40-60,,80-100,25-28,2.82,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,8-10,
2013-2014,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,50-100,20-40,,40-60,22-25,3.71,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8,
2013-2014,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,50-100,40-60,,40-60,22-25,4.03,25-50,1.5-3,80-100,6-8,,,,,50-100,1.5-3,80-100,6-8,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8,
2013-2014,fc2f8485971a,CALCOLO NUMERICO,25-50,0-20,,40-60,22-25,3.92,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8,
2013-2014,3cba32344644,ALGORITMI E STRUTTURE DATI,50-100,0-20,,60-80,25-28,3.3,50-100,1.5-3,60-80,6-8,,,,,50-100,0-1.5,80-100,8-10,,,,,,,,,100-200,1.5-3,80-100,8-10,100-200,0-1.5,80-100,8-10,
2013-2014,02ec81a0c16a,SISTEMI OPERATIVI,25-50,40-60,,60-80,25-28,2.76,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,25-50,0-1.5,80-100,6-8,25-50,1.5-3,80-100,6-8,
2013-2014,ea586dede443,MATEMATICA DISCRETA E LOGICA,50-100,40-60,,40-60,22-25,3.57,50-100,1.5-3,60-80,6-8,,,,,50-100,0-1.5,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8,
2010-2011,d84e35d81119,RETI DI CALCOLATORI,0-25,20-40,,80-100,28-31,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,9000fdc450fb,INFORMATICA TEORICA,0-25,60-80,,80-100,28-31,3.34,,,,,,,,,0-25,0-1.5,80-100,8-10,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,8-10,0-25,0-1.5,80-100,8-10,,,,,
2010-2011,1e7e0a974aa6,ALGEBRA LINEARE,0-25,20-40,,40-60,22-25,4.71,,,,,,,,,0-25,1.5-3,80-100,8-10,0-25,0-1.5,80-100,6-8,0-25,0-1.5,80-100,8-10,0-25,0-1.5,80-100,8-10,,,,,
2010-2011,301787671164,FISICA GENERALE,0-25,20-40,,80-100,28-31,0.47,,,,,,,,,0-25,1.5-3,80-100,8-10,0-25,1.5-3,80-100,8-10,0-25,0-1.5,80-100,8-10,0-25,1.5-3,80-100,8-10,,,,,
2011-2012,46a40e083cb3,PROGRAMMAZIONE,25-50,20-40,,40-60,22-25,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,0-25,40-60,,40-60,22-25,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,7acf3f684e24,RETI DI CALCOLATORI,0-25,40-60,,80-100,25-28,2.16,OUT_OF_RANGE,0-1.5,80-100,8-10,,,,,,,,,,,,,,,,,OUT_OF_RANGE,0-1.5,80-100,8-10,,,,,
2011-2012,b7322f753612,ALGEBRA LINEARE,0-25,60-80,,20-40,22-25,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,d08ed5588630,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,25-50,80-100,,60-80,25-28,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,0-25,40-60,,40-60,22-25,3.04,,,,,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8,
2011-2012,d24b5c320402,FISICA GENERALE,0-25,60-80,,40-60,22-25,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,d24b5c320402,FISICA GENERALE,0-25,60-80,,60-80,22-25,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,d5ea9d863079,SISTEMI OPERATIVI,25-50,40-60,,60-80,25-28,2.37,,,,,,,,,OUT_OF_RANGE,0-1.5,80-100,8-10,,,,,,,,,0-25,0-1.5,80-100,8-10,0-25,0-1.5,80-100,8-10,
2012-2013,bfe4b3521c4f,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,25-50,80-100,,60-80,25-28,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,b3d82fea348c,PROGRAMMAZIONE,50-100,20-40,,60-80,25-28,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,d24b5c320402,FISICA GENERALE,0-25,60-80,,40-60,22-25,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,b7322f753612,ALGEBRA LINEARE,50-100,20-40,,40-60,22-25,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
