Anno Accademico,Hash Docente/i,Insegnamento,Produttivita Studenti - N [istanze],Produttivita Studenti - Ritardo >=1sem [percent],"Produttivita Studenti - Ritardo [semestre, media]",Produttivita Studenti - Voto >= 24 [perc],Produttivita Studenti - Voto [media],Produttivita Studenti - Voto [std dev],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - N [istanze],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Std Dev [media pesata],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Val >= 6 [percent],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Val [media pesata],Valutazione Insegnamento - Aule ed attrezzature - N [istanze],Valutazione Insegnamento - Aule ed attrezzature - Std Dev [media pesata],Valutazione Insegnamento - Aule ed attrezzature - Val >= 6 [percent],Valutazione Insegnamento - Aule ed attrezzature - Val [media pesata],Valutazione Insegnamento - Docente - N [istanze],Valutazione Insegnamento - Docente - Std Dev [media pesata],Valutazione Insegnamento - Docente - Val >= 6 [percent],Valutazione Insegnamento - Docente - Val [media pesata],Valutazione Insegnamento - Informazioni aggiuntive - N [istanze],Valutazione Insegnamento - Informazioni aggiuntive - Std Dev [media pesata],Valutazione Insegnamento - Informazioni aggiuntive - Val >= 6 [percent],Valutazione Insegnamento - Informazioni aggiuntive - Val [media pesata],Valutazione Insegnamento - Organizzazione Corso di Studi - N [istanze],Valutazione Insegnamento - Organizzazione Corso di Studi - Std Dev [media pesata],Valutazione Insegnamento - Organizzazione Corso di Studi - Val >= 6 [percent],Valutazione Insegnamento - Organizzazione Corso di Studi - Val [media pesata],Valutazione Insegnamento - Organizzazione Insegnamento - N [istanze],Valutazione Insegnamento - Organizzazione Insegnamento - Std Dev [media pesata],Valutazione Insegnamento - Organizzazione Insegnamento - Val >= 6 [percent],Valutazione Insegnamento - Organizzazione Insegnamento - Val [media pesata],Valutazione Insegnamento - Soddisfazione - N [istanze],Valutazione Insegnamento - Soddisfazione - Std Dev [media pesata],Valutazione Insegnamento - Soddisfazione - Val >= 6 [percent],Valutazione Insegnamento - Soddisfazione - Val [media pesata]
2014-2015,fc2f8485971a,CALCOLO NUMERICO,24,0,0,62.5,24.04,2.99,41,1.55,96.34,8.41,,,,,42,1.58,94.34,7.98,,,,,,,,,44,1.81,83.4,7.23,46,1.57,85.87,7.04
2011-2012,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,16,44,0.81,93.75,27.44,2.78,11,1.18,95.46,8.59,,,,,14,1.79,90.41,7.63,,,,,,,,,18,1.46,97.3,8.12,20,1.18,100,7.88
2011-2012,d5ea9d863079,SISTEMI OPERATIVI,14,50,0.93,92.86,26.29,2.08,11,1.2,95.46,8.72,,,,,17,1.56,94.38,8.25,,,,,,,,,25,1.54,92.05,7.53,28,1.41,96.43,8.11
2011-2012,3cba32344644,ALGORITMI E STRUTTURE DATI,35,17,0.4,77.14,25.49,2.69,35,1.49,95.72,8.51,,,,,45,1.23,98.24,8.9,,,,,,,,,54,1.77,92.03,8.03,60,1.22,100,8.54
2011-2012,2b1ffcc8eee2,PROGRAMMAZIONE CONCORRENTE,18,61,1.72,61.11,25.06,4.25,15,1.6,90,8,,,,,23,2.26,81.51,7.25,,,,,,,,,32,1.95,82.29,7.4,37,2.08,88,7.89
2011-2012,c0d54a2cf1f7,MATEMATICA DISCRETA E LOGICA,22,77,2.18,27.27,21.36,3.26,29,1.53,91.52,8.12,,,,,38,1.43,97.38,8.46,,,,,,,,,44,1.88,87.12,7.48,50,1.67,91,7.64
2011-2012,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,16,62,1.12,81.25,26.56,3.1,17,1.48,97.14,8.6,,,,,21,1.14,97.22,8.67,,,,,,,,,24,1.8,86.3,7.7,28,1.27,96.43,8.64
2011-2012,b7322f753612,ALGEBRA LINEARE,20,30,0.5,55,24.55,4.71,33,1.5,95.45,8.33,,,,,38,1.53,94.3,8.2,,,,,,,,,41,1.64,93.23,7.93,47,1.57,93.62,7.77
2011-2012,46a40e083cb3,PROGRAMMAZIONE,32,38,0.78,56.25,23.88,2.61,22,1.4,97.78,8.31,,,,,32,1.78,86.42,7.73,,,,,,,,,42,1.76,88.09,7.6,46,1.87,91.31,7.83
2011-2012,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,23,61,1.26,56.52,24.35,3.21,22,1.22,97.73,8.43,,,,,27,1.59,92.59,7.79,,,,,,,,,28,1.72,89.81,7.58,29,1.67,90.68,7.77
2011-2012,d67481237fa7,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,33,48,0.97,66.67,24.64,3.18,30,1.5,96.72,8.77,,,,,37,1.35,95.68,8.71,,,,,,,,,42,1.49,96.86,8.28,46,1.58,96.74,8.1
2013-2014,02ec81a0c16a,SISTEMI OPERATIVI,39,49,1.18,76.92,25.46,2.45,30,1.83,81.11,7.43,,,,,34,1.69,83.04,7.66,,,,,,,,,40,1.39,91.25,7.76,42,1.54,90.48,7.62
2013-2014,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,56,57,1.27,58.93,24.41,3.99,42,2.11,80.31,7.39,,,,,55,1.99,83.81,7.29,,,,,,,,,69,2.03,84.34,7.34,75,1.92,83.33,7.2
2013-2014,fc2f8485971a,CALCOLO NUMERICO,8,12,0.12,62.5,23.62,3.04,22,1.31,89.39,8.27,,,,,24,1.11,99.17,8.71,,,,,,,,,24,1.74,90.6,7.8,26,1.51,90.39,7.32
2013-2014,3cba32344644,ALGORITMI E STRUTTURE DATI,71,3,0.04,78.87,25.89,3.23,87,1.6,79.09,7.49,,,,,97,1.18,98.56,8.99,,,,,,,,,105,1.77,92.54,8.31,109,1.16,98.62,8.78
2013-2014,ea586dede443,MATEMATICA DISCRETA E LOGICA,51,59,1.67,50.98,23.65,3.5,67,1.94,79.21,7.15,,,,,76,1.45,96.87,8.39,,,,,,,,,81,1.92,83.84,7.42,88,1.76,92.04,7.67
2013-2014,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,41,24,0.46,56.1,24.56,3.19,34,1.83,86.27,7.34,,,,,40,1.6,94.58,8.05,,,,,,,,,48,1.87,90.66,7.84,51,1.73,89.32,7.77
2013-2014,b3d82fea348c,PROGRAMMAZIONE,61,33,0.44,80.33,25.95,3.19,73,2.23,76.71,6.93,,,,,83,2.01,89.24,7.8,,,,,,,,,92,2.12,83.15,7.32,98,1.66,91.83,8.19
2013-2014,bfe4b3521c4f,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,65,17,0.38,81.54,26.58,3.23,77,2,81.46,7.68,,,,,86,1.18,99.31,9.12,,,,,,,,,92,1.77,93.12,8.09,97,1.66,94.85,8.15
2013-2014,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,43,40,0.74,86.05,26.65,2.68,34,2.02,81.55,7.25,,,,,39,1.73,92.42,8.26,,,,,,,,,42,2.1,84.71,7.56,45,1.59,96.67,8.41
2013-2014,7acf3f684e24,RETI DI CALCOLATORI,14,50,0.93,92.86,27.57,2.13,20,1.65,90.16,7.87,,,,,24,1.28,96.77,8.66,,,,,,,,,27,1.54,95.15,8.5,29,1.1,100,8.89
2013-2014,b7322f753612,ALGEBRA LINEARE,46,65,1.3,63.04,24.63,3.93,28,1.59,84.7,7.39,,,,,33,1.44,95.27,8.24,,,,,,,,,39,1.84,78.73,7.01,42,1.97,76.19,6.81
2013-2014,9000fdc450fb,INFORMATICA TEORICA,8,62,1,50,23.75,3.8,27,1.35,96.3,7.94,,,,,29,1.91,88.28,7.7,,,,,,,,,31,1.82,87.64,7.5,32,2.35,78.13,6.59
2013-2014,ebf305b5bf29,PROGRAMMAZIONE CONCORRENTE,42,31,0.45,47.62,23.69,3.79,39,1.95,84.03,7.36,,,,,43,1.83,84.26,7.4,,,,,,,,,47,2,82.11,7.25,52,1.72,85.57,7.3
2010-2011,e2afee673f6c,ALGORITMI E STRUTTURE DATI,28,7,0.07,75,25.68,3.5,,,,,34,1.64,93.43,8.14,34,1.68,94.75,8.58,34,2.01,87.91,7.85,34,2,80.77,7.76,34,1.79,91.7,8.33,,,,
2010-2011,ebf305b5bf29,ARCHITETTURE DEGLI ELABORATORI,16,69,1.62,93.75,26.44,2.57,,,,,29,1.63,92.52,8.28,27,1.75,73.24,7.05,27,1.9,74.08,6.93,26,1.61,84.65,7.54,27,1.9,72.52,6.92,,,,
2010-2011,7b1f4e0bdb33,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,23,39,1.04,69.57,25.65,4.07,,,,,13,1.58,94.34,7.96,19,1.46,92.11,8.15,19,1.9,78.34,7.18,19,1.59,83.05,7.47,16,2.02,78.46,7.42,,,,
2010-2011,44acacef1271,MATEMATICA DISCRETA E LOGICA,17,41,1.24,47.06,23.76,3.67,,,,,20,1.53,96.25,7.86,33,1.67,76.11,7.06,33,1.88,65.8,6.41,34,1.54,76.47,6.99,29,2.13,57.28,6.1,,,,
2010-2011,abab2d838ed5,PROGRAMMAZIONE,23,30,0.61,82.61,25.74,2.91,,,,,16,1.63,96.97,8.12,16,1.87,74.23,7.42,16,2.36,61.65,6.82,15,1.73,88.17,7.8,16,1.97,73.64,7.17,,,,
2012-2013,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,24,79,1.67,83.33,24.88,2.11,11,1.45,95.46,8.46,,,,,15,1.75,89.74,8.11,,,,,,,,,19,2,84.03,7.53,22,1.49,93.33,8.54
2012-2013,d67481237fa7,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,51,22,0.45,68.63,25.33,3.64,42,1.18,98.81,9.02,,,,,56,1.18,98.22,8.85,,,,,,,,,70,1.93,88.18,7.72,78,1.67,90.38,7.78
2012-2013,d4b42520842d,ALGEBRA LINEARE,26,77,1.92,26.92,22.27,3.24,6,1.42,91.67,8.08,,,,,9,1.05,100,8.89,,,,,,,,,12,1.85,85.53,7.58,14,1.92,92.86,7.15
2012-2013,9000fdc450fb,INFORMATICA TEORICA,11,73,1.36,81.82,28.64,3.34,10,1.47,90,8.8,,,,,10,1.04,100,8.72,,,,,,,,,10,1.17,95.39,8.55,12,1.33,91.67,7.92
2012-2013,fc2f8485971a,CALCOLO NUMERICO,4,25,0.25,75,26,3.24,5,0.95,100,8.8,,,,,9,1.44,93.62,8.13,,,,,,,,,16,1.89,78.75,7.21,15,1.84,77.42,6.68
2012-2013,46a40e083cb3,PROGRAMMAZIONE,53,28,0.38,77.36,26.28,3.98,45,1.47,97.78,8.42,,,,,57,1.51,96.51,8.61,,,,,,,,,71,2.07,84.81,7.49,77,1.56,96.75,8.51
2012-2013,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,20,55,1.05,45,23.4,3.02,12,1.32,100,8.38,,,,,18,1.97,89.13,7.9,,,,,,,,,26,2.13,84.62,7.74,29,1.89,88.13,8.07
2012-2013,c0d54a2cf1f7,MATEMATICA DISCRETA E LOGICA,39,49,1.21,41.03,22.95,3.56,34,1.4,95.59,8.05,,,,,47,1.28,96.19,8.38,,,,,,,,,60,2.02,82.37,7.08,68,1.77,86.03,7.13
2012-2013,7acf3f684e24,RETI DI CALCOLATORI,10,30,0.6,100,28.5,1.8,10,1.65,85,7.7,,,,,10,1.66,87.04,7.87,,,,,,,,,13,1.53,89.23,7.37,13,1.76,88.47,7.66
2012-2013,3cba32344644,ALGORITMI E STRUTTURE DATI,52,13,0.23,86.54,26.69,3.57,51,1.26,99.03,8.89,,,,,59,1.02,99.33,9.08,,,,,,,,,69,1.64,92.99,8.14,74,1.07,100,8.79
2012-2013,ebf305b5bf29,PROGRAMMAZIONE CONCORRENTE,26,77,1.38,46.15,23.27,3.51,33,2.14,87.88,7.79,,,,,42,2.1,84.51,7.6,,,,,,,,,52,2.01,86.08,7.57,58,1.66,89.66,7.57
2012-2013,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,43,65,1.79,76.74,25.26,3.72,17,1.62,94.29,8.77,,,,,32,1.83,90.12,8.11,,,,,,,,,47,2.37,77.62,7.17,54,2.26,81.65,7.05
2011-2012,d24b5c320402,FISICA GENERALE,3,33,0.33,100,30.33,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,d24b5c320402,FISICA GENERALE,24,75,1.88,75,24.96,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,d5ea9d863079,SISTEMI OPERATIVI,19,63,1.37,47.37,23.79,2.31,,,,,,,,,10,1.03,100,8.75,,,,,,,,,11,1.48,96.36,8.27,11,1.18,100,8.81
2012-2013,d24b5c320402,FISICA GENERALE,7,71,1.86,57.14,24.57,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
