Anno Accademico,Hash Docente/i,Insegnamento,Produttivita Studenti - N [istanze],Produttivita Studenti - Ritardo >=1sem [percent],"Produttivita Studenti - Ritardo [semestre, media]",Produttivita Studenti - Voto >= 24 [perc],Produttivita Studenti - Voto [media],Produttivita Studenti - Voto [std dev],"Valutazione Insegnamento - N [media, istanze]",Valutazione Insegnamento - Val [media pesata],Valutazione Insegnamento - Std Dev [media pesata],"Valutazione Insegnamento - Val >= 6 [media, percent]"
2010-2011,e2afee673f6c,ALGORITMI E STRUTTURE DATI,28,7,0.07,75,25.68,3.5,34,8.13,1.82,89.71
2010-2011,ebf305b5bf29,ARCHITETTURE DEGLI ELABORATORI,16,69,1.62,93.75,26.44,2.57,27,7.34,1.76,79.4
2010-2011,7b1f4e0bdb33,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,23,39,1.04,69.57,25.65,4.07,17,7.64,1.71,85.26
2010-2011,44acacef1271,MATEMATICA DISCRETA E LOGICA,17,41,1.24,47.06,23.76,3.67,30,6.88,1.75,74.38
2010-2011,abab2d838ed5,PROGRAMMAZIONE,23,30,0.61,82.61,25.74,2.91,16,7.47,1.91,78.93
2012-2013,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,24,79,1.67,83.33,24.88,2.11,17,8.16,1.67,90.64
2012-2013,d67481237fa7,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,51,22,0.45,68.63,25.33,3.64,62,8.34,1.49,93.9
2012-2013,d4b42520842d,ALGEBRA LINEARE,26,77,1.92,26.92,22.27,3.24,10,7.93,1.56,92.51
2012-2013,9000fdc450fb,INFORMATICA TEORICA,11,73,1.36,81.82,28.64,3.34,10,8.5,1.25,94.27
2012-2013,fc2f8485971a,CALCOLO NUMERICO,4,25,0.25,75,26,3.24,11,7.71,1.53,87.45
2012-2013,46a40e083cb3,PROGRAMMAZIONE,53,28,0.38,77.36,26.28,3.98,62,8.26,1.65,93.96
2012-2013,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,20,55,1.05,45,23.4,3.02,21,8.02,1.83,90.47
2012-2013,c0d54a2cf1f7,MATEMATICA DISCRETA E LOGICA,39,49,1.21,41.03,22.95,3.56,52,7.66,1.62,90.05
2012-2013,7acf3f684e24,RETI DI CALCOLATORI,10,30,0.6,100,28.5,1.8,12,7.65,1.65,87.44
2012-2013,3cba32344644,ALGORITMI E STRUTTURE DATI,52,13,0.23,86.54,26.69,3.57,63,8.72,1.25,97.84
2012-2013,ebf305b5bf29,PROGRAMMAZIONE CONCORRENTE,26,77,1.38,46.15,23.27,3.51,46,7.63,1.98,87.03
2012-2013,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,43,65,1.79,76.74,25.26,3.72,38,7.77,2.02,85.92
2012-2013,d5ea9d863079,SISTEMI OPERATIVI,19,63,1.37,47.37,23.79,2.31,11,8.61,1.23,98.79
