Insegnamento,Hash Docente/i,Docente - Media,Docente - P<6,Docente - P>=6,Docente - N,Organizzazione Insegnamento - Media,Organizzazione Insegnamento - P<6,Organizzazione Insegnamento - P>=6,Organizzazione Insegnamento - N,Soddisfazione - Media,Soddisfazione - P<6,Soddisfazione - P>=6,Soddisfazione - N,Aspetti specifici del Corso di Studi - Media,Aspetti specifici del Corso di Studi - P<6,Aspetti specifici del Corso di Studi - P>=6,Aspetti specifici del Corso di Studi - N,Produttivita Studenti - N,Produttivita Studenti - P>=24,Produttivita Studenti - P<24,Produttivita Studenti - Media,Anno Accademico,Docente - Std Dev,Organizzazione Insegnamento - Std Dev,Soddisfazione - Std Dev,Aspetti specifici del Corso di Studi - Std Dev,Produttivita Studenti - Std Dev
ALGORITMI E STRUTTURE DATI,3cba32344644,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,6-8,20-40,60-80,0-20,60-80,60-80,20-40,25-28,2013-2014,0-1.5,1.5-3,0-1.5,1.5-3,3-5
RETI DI CALCOLATORI,7acf3f684e24,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,8-10,0-20,100-120,0-20,6-8,0-20,80-100,0-20,0-20,100-120,0-20,28-31,2013-2014,0-1.5,1.5-3,0-1.5,1.5-3,1.5-3
PROGRAMMAZIONE,b3d82fea348c,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,6-8,20-40,60-80,0-20,40-60,80-100,0-20,25-28,2013-2014,1.5-3,1.5-3,1.5-3,1.5-3,3-5
FISICA GENERALE,d24b5c320402,,,,,,,,,,,,,N.C.,N.C.,N.C.,<5,0-20,40-60,40-60,22-25,2013-2014,,,,N.C.,1.5-3
FISICA GENERALE,d24b5c320402,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,<5,,,,,N.C.,N.C.,N.C.,<5,0-20,60-80,20-40,25-28,2012-2013,N.C.,N.C.,,N.C.,1.5-3
RETI DI CALCOLATORI,7acf3f684e24,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,0-20,100-120,0-20,28-31,2012-2013,1.5-3,1.5-3,1.5-3,1.5-3,1.5-3
CALCOLO NUMERICO,fc2f8485971a,8-10,0-20,80-100,0-20,6-8,20-40,60-80,0-20,6-8,20-40,60-80,0-20,8-10,0-20,100-120,0-20,0-20,60-80,20-40,25-28,2012-2013,0-1.5,1.5-3,1.5-3,0-1.5,3-5
SISTEMI OPERATIVI,d5ea9d863079,8-10,0-20,100-120,0-20,8-10,0-20,80-100,0-20,8-10,0-20,100-120,0-20,N.C.,N.C.,N.C.,<5,0-20,60-80,20-40,22-25,2012-2013,0-1.5,0-1.5,0-1.5,N.C.,1.5-3
BASI DI DATI E SISTEMI INFORMATIVI,074aa5f763ed,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,8-10,0-20,100-120,0-20,0-20,80-100,0-20,25-28,2012-2013,1.5-3,1.5-3,1.5-3,0-1.5,1.5-3
PROGRAMMAZIONE CONCORRENTE,ebf305b5bf29,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,0-20,40-60,40-60,22-25,2012-2013,1.5-3,1.5-3,1.5-3,1.5-3,3-5
METODOLOGIE DI PROGRAMMAZIONE,004dadc96b11,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,0-20,80-100,0-20,25-28,2012-2013,1.5-3,1.5-3,0-1.5,0-1.5,1.5-3
ALGEBRA LINEARE,d4b42520842d,8-10,0-20,100-120,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,0-20,20-40,60-80,22-25,2012-2013,0-1.5,1.5-3,1.5-3,0-1.5,3-5
PROGRAMMAZIONE,46a40e083cb3,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,40-60,80-100,0-20,25-28,2012-2013,0-1.5,1.5-3,1.5-3,0-1.5,3-5
INFORMATICA TEORICA,9000fdc450fb,8-10,0-20,100-120,0-20,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,0-20,100-120,0-20,28-31,2012-2013,0-1.5,0-1.5,0-1.5,0-1.5,1.5-3
MATEMATICA DISCRETA E LOGICA,c0d54a2cf1f7,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,20-40,40-60,40-60,22-25,2012-2013,0-1.5,1.5-3,1.5-3,0-1.5,3-5
ARCHITETTURE DEGLI ELABORATORI,73a131af52a0,8-10,0-20,80-100,0-20,6-8,20-40,60-80,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,20-40,80-100,0-20,25-28,2012-2013,1.5-3,1.5-3,1.5-3,1.5-3,1.5-3
ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,bfe4b3521c4f,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,20-40,60-80,20-40,25-28,2012-2013,0-1.5,1.5-3,1.5-3,0-1.5,3-5
ALGORITMI E STRUTTURE DATI,3cba32344644,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,8-10,0-20,100-120,0-20,8-10,0-20,80-100,0-20,40-60,80-100,0-20,25-28,2012-2013,0-1.5,1.5-3,0-1.5,0-1.5,3-5
ALGEBRA LINEARE,b7322f753612,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,0-20,40-60,40-60,22-25,2011-2012,1.5-3,1.5-3,1.5-3,1.5-3,3-5
ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,d67481237fa7,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,0-20,80-100,0-20,25-28,2011-2012,0-1.5,0-1.5,1.5-3,1.5-3,3-5
ALGORITMI E STRUTTURE DATI,3cba32344644,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,8-10,0-20,100-120,0-20,8-10,0-20,80-100,0-20,20-40,80-100,0-20,25-28,2011-2012,0-1.5,1.5-3,0-1.5,1.5-3,1.5-3
MATEMATICA DISCRETA E LOGICA,c0d54a2cf1f7,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,0-20,20-40,60-80,22-25,2011-2012,0-1.5,1.5-3,1.5-3,1.5-3,1.5-3
PROGRAMMAZIONE,46a40e083cb3,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,20-40,40-60,40-60,22-25,2011-2012,1.5-3,1.5-3,1.5-3,0-1.5,1.5-3
PROGRAMMAZIONE CONCORRENTE,2b1ffcc8eee2,6-8,20-40,60-80,0-20,6-8,20-40,60-80,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,0-20,80-100,0-20,25-28,2011-2012,1.5-3,1.5-3,1.5-3,1.5-3,1.5-3
ARCHITETTURE DEGLI ELABORATORI,73a131af52a0,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,0-20,60-80,20-40,22-25,2011-2012,1.5-3,1.5-3,1.5-3,0-1.5,1.5-3
METODOLOGIE DI PROGRAMMAZIONE,004dadc96b11,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,0-20,80-100,0-20,25-28,2011-2012,0-1.5,1.5-3,0-1.5,0-1.5,1.5-3
BASI DI DATI E SISTEMI INFORMATIVI,074aa5f763ed,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,6-8,0-20,100-120,0-20,8-10,0-20,80-100,0-20,0-20,80-100,0-20,25-28,2011-2012,1.5-3,1.5-3,0-1.5,0-1.5,1.5-3
FISICA GENERALE,d24b5c320402,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,<5,0-20,100-120,0-20,28-31,2011-2012,N.C.,N.C.,N.C.,N.C.,0-1.5
SISTEMI OPERATIVI,d5ea9d863079,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,0-20,100-120,0-20,25-28,2011-2012,1.5-3,1.5-3,0-1.5,0-1.5,1.5-3
ARCHITETTURE DEGLI ELABORATORI,ebf305b5bf29,6-8,20-40,60-80,0-20,6-8,20-40,60-80,0-20,,,,,,,,,0-20,100-120,0-20,28-31,2010-2011,1.5-3,1.5-3,,,0-1.5
ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,7b1f4e0bdb33,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,,,,,,,,,0-20,60-80,20-40,25-28,2010-2011,0-1.5,1.5-3,,,3-5
MATEMATICA DISCRETA E LOGICA,44acacef1271,6-8,20-40,60-80,0-20,6-8,40-60,40-60,0-20,,,,,,,,,0-20,40-60,40-60,22-25,2010-2011,1.5-3,1.5-3,,,3-5
PROGRAMMAZIONE,abab2d838ed5,6-8,20-40,60-80,0-20,6-8,20-40,60-80,0-20,,,,,,,,,0-20,80-100,0-20,25-28,2010-2011,1.5-3,1.5-3,,,1.5-3
ALGORITMI E STRUTTURE DATI,e2afee673f6c,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,,,,,,,,,20-40,60-80,20-40,25-28,2010-2011,1.5-3,1.5-3,,,3-5
